Open,High,Low,Close,Volume,Label
4060.0,4070.0,3990.0,4000.0,38515000.0,-1.0
4000.0,4040.0,3920.0,3960.0,40805000.0,-1.0
3940.0,3940.0,3820.0,3870.0,44685000.0,-1.0
3840.0,3930.0,3800.0,3870.0,25925000.0,-1.0
3870.0,3900.0,3780.0,3780.0,33500000.0,-1.0
3790.0,3800.0,3700.0,3720.0,40985000.0,1.0
3700.0,3790.0,3690.0,3750.0,27040000.0,1.0
3840.0,3850.0,3800.0,3840.0,30675000.0,1.0
3840.0,3880.0,3810.0,3860.0,23280000.0,1.0
3900.0,3910.0,3870.0,3890.0,20305000.0,1.0
3840.0,3940.0,3840.0,3940.0,13705000.0,-1.0
3940.0,3950.0,3860.0,3860.0,15550000.0,-1.0
3740.0,3770.0,3650.0,3670.0,38020000.0,-1.0
3500.0,3540.0,3390.0,3420.0,81635000.0,-1.0
3440.0,3490.0,3390.0,3400.0,32665000.0,-1.0
3280.0,3410.0,3280.0,3380.0,37970000.0,1.0
3480.0,3560.0,3460.0,3520.0,66365000.0,-1.0
3640.0,3640.0,3360.0,3400.0,46560000.0,-1.0
3370.0,3390.0,3260.0,3340.0,27910000.0,-1.0
3340.0,3340.0,3340.0,3340.0,0.0,1.0
3360.0,3420.0,3330.0,3350.0,33430000.0,1.0
3330.0,3540.0,3310.0,3540.0,37325000.0,-1.0
3520.0,3600.0,3470.0,3520.0,29625000.0,-1.0
3500.0,3500.0,3430.0,3460.0,21275000.0,1.0
3400.0,3510.0,3400.0,3470.0,21480000.0,1.0
3460.0,3590.0,3440.0,3570.0,20905000.0,1.0
3590.0,3650.0,3590.0,3630.0,21865000.0,1.0
3730.0,3790.0,3690.0,3710.0,28800000.0,-1.0
3760.0,3780.0,3690.0,3710.0,20055000.0,1.0
3740.0,3810.0,3720.0,3790.0,22230000.0,1.0
3830.0,3990.0,3810.0,3960.0,57875000.0,-1.0
4020.0,4040.0,3880.0,3910.0,31790000.0,1.0
4000.0,4020.0,3950.0,3990.0,32795000.0,-1.0
3930.0,4000.0,3900.0,3980.0,16130000.0,-1.0
3880.0,3900.0,3810.0,3860.0,22085000.0,-1.0
3820.0,3840.0,3740.0,3800.0,13405000.0,-1.0
3690.0,3730.0,3660.0,3660.0,29170000.0,1.0
3710.0,3780.0,3710.0,3730.0,11580000.0,1.0
3770.0,3830.0,3750.0,3830.0,18640000.0,1.0
3900.0,3960.0,3870.0,3950.0,21220000.0,-1.0
3950.0,3950.0,3950.0,3950.0,0.0,-1.0
3840.0,3900.0,3820.0,3900.0,18330000.0,1.0
3900.0,3960.0,3870.0,3920.0,17745000.0,-1.0
3800.0,3830.0,3780.0,3800.0,9435000.0,-1.0
3820.0,3850.0,3700.0,3720.0,21735000.0,1.0
3630.0,3850.0,3630.0,3850.0,21770000.0,-1.0
3870.0,3910.0,3800.0,3850.0,14945000.0,-1.0
3840.0,3880.0,3780.0,3840.0,7515000.0,1.0
3960.0,4020.0,3920.0,3980.0,37955000.0,-1.0
4000.0,4000.0,3930.0,3940.0,20535000.0,-1.0
3900.0,3970.0,3860.0,3930.0,19135000.0,-1.0
3840.0,3940.0,3840.0,3920.0,12585000.0,-1.0
3860.0,3880.0,3750.0,3800.0,25845000.0,-1.0
3810.0,3820.0,3750.0,3760.0,10450000.0,1.0
3760.0,3940.0,3750.0,3930.0,18775000.0,-1.0
3840.0,3850.0,3750.0,3790.0,21020000.0,-1.0
3800.0,3850.0,3760.0,3770.0,17490000.0,1.0
3760.0,3820.0,3690.0,3820.0,22835000.0,1.0
3770.0,3830.0,3730.0,3830.0,14000000.0,-1.0
3800.0,3850.0,3720.0,3740.0,15810000.0,-1.0
3200.0,3460.0,3200.0,3230.0,84970000.0,1.0
3360.0,3460.0,3320.0,3430.0,59745000.0,-1.0
3440.0,3450.0,3290.0,3390.0,33175000.0,-1.0
3300.0,3360.0,3240.0,3280.0,28450000.0,1.0
3390.0,3400.0,3300.0,3350.0,24870000.0,-1.0
3300.0,3340.0,3260.0,3280.0,21555000.0,-1.0
3200.0,3200.0,3030.0,3080.0,61380000.0,-1.0
2900.0,2940.0,2790.0,2850.0,65415000.0,-1.0
2850.0,2850.0,2850.0,2850.0,0.0,1.0
3060.0,3070.0,2860.0,2860.0,42065000.0,-1.0
2820.0,2870.0,2790.0,2830.0,33275000.0,-1.0
2760.0,2810.0,2680.0,2810.0,36500000.0,-1.0
2810.0,2810.0,2810.0,2810.0,0.0,-1.0
2810.0,2810.0,2810.0,2810.0,0.0,-1.0
